filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
B10A0196.JPG,1480632,"{}",0,0,"{}","{}"
B10A0550.JPG,850089,"{}",4,0,"{""name"":""rect"",""x"":1616,""y"":791,""width"":92,""height"":218}","{""name"":""insu""}"
B10A0550.JPG,850089,"{}",4,1,"{""name"":""rect"",""x"":1742,""y"":1406,""width"":92,""height"":91}","{""name"":""insu""}"
B10A0550.JPG,850089,"{}",4,2,"{""name"":""rect"",""x"":438,""y"":1285,""width"":94,""height"":212}","{""name"":""insu""}"
B10A0550.JPG,850089,"{}",4,3,"{""name"":""rect"",""x"":549,""y"":696,""width"":86,""height"":212}","{""name"":""insu""}"
B10A0551.JPG,1289103,"{}",0,0,"{}","{}"
B10A1093.JPG,878092,"{}",1,0,"{""name"":""rect"",""x"":1046,""y"":795,""width"":194,""height"":451}","{""name"":""insu""}"
B10A1104.JPG,1132340,"{}",3,0,"{""name"":""rect"",""x"":1099,""y"":635,""width"":104,""height"":258}","{""name"":""insu""}"
B10A1104.JPG,1132340,"{}",3,1,"{""name"":""rect"",""x"":1182,""y"":1317,""width"":104,""height"":180}","{""name"":""insu""}"
B10A1104.JPG,1132340,"{}",3,2,"{""name"":""rect"",""x"":94,""y"":874,""width"":108,""height"":261}","{""name"":""insu""}"
B10A1114.JPG,995295,"{}",2,0,"{""name"":""rect"",""x"":1806,""y"":621,""width"":139,""height"":374}","{""name"":""insu""}"
B10A1114.JPG,995295,"{}",2,1,"{""name"":""rect"",""x"":186,""y"":1056,""width"":159,""height"":381}","{""name"":""insu""}"
B10A1378.JPG,1315932,"{}",6,0,"{""name"":""rect"",""x"":1408,""y"":584,""width"":67,""height"":142}","{""name"":""insu""}"
B10A1378.JPG,1315932,"{}",6,1,"{""name"":""rect"",""x"":1447,""y"":1383,""width"":64,""height"":113}","{""name"":""insu""}"
B10A1378.JPG,1315932,"{}",6,2,"{""name"":""rect"",""x"":1492,""y"":1018,""width"":67,""height"":148}","{""name"":""insu""}"
B10A1378.JPG,1315932,"{}",6,3,"{""name"":""rect"",""x"":787,""y"":912,""width"":68,""height"":139}","{""name"":""insu""}"
B10A1378.JPG,1315932,"{}",6,4,"{""name"":""rect"",""x"":815,""y"":511,""width"":68,""height"":137}","{""name"":""insu""}"
B10A1378.JPG,1315932,"{}",6,5,"{""name"":""rect"",""x"":874,""y"":1291,""width"":67,""height"":132}","{""name"":""insu""}"
B10A1863.JPG,864692,"{}",1,0,"{""name"":""rect"",""x"":1010,""y"":438,""width"":263,""height"":548}","{""name"":""insu""}"
B10A1939.JPG,912988,"{}",2,0,"{""name"":""rect"",""x"":0,""y"":849,""width"":162,""height"":487}","{""name"":""insu""}"
B10A1939.JPG,912988,"{}",2,1,"{""name"":""rect"",""x"":2145,""y"":954,""width"":102,""height"":495}","{""name"":""insu""}"
B10A1962.JPG,941030,"{}",1,0,"{""name"":""rect"",""x"":957,""y"":865,""width"":240,""height"":498}","{""name"":""insu""}"
B10A2163.JPG,887443,"{}",0,0,"{}","{}"
B10A2205.JPG,752895,"{}",1,0,"{""name"":""rect"",""x"":0,""y"":1293,""width"":126,""height"":205}","{""name"":""insu""}"
B10A2265.JPG,803053,"{}",1,0,"{""name"":""rect"",""x"":1030,""y"":83,""width"":242,""height"":615}","{""name"":""insu""}"
B10A2275.JPG,677333,"{}",0,0,"{}","{}"
B10A2478.JPG,867497,"{}",1,0,"{""name"":""rect"",""x"":1040,""y"":702,""width"":237,""height"":584}","{""name"":""insu""}"
B10A2489.JPG,888911,"{}",1,0,"{""name"":""rect"",""x"":2,""y"":1323,""width"":137,""height"":175}","{""name"":""insu""}"
